电影名,主演,上映日期,评分,影评数,热门影评
唐伯虎点秋香,周星驰,"
                            1993 ",8.7,1093131人,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,柳承龙,"
                            2013 ",8.9,563558人,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,中谷美纪,"
                            2006 ",8.9,709994人,以戏谑来戏谑戏谑。
请以你的名字呼唤我,艾米·汉莫,"
                            2017 ",8.8,731270人,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起,克里斯蒂安·贝尔,"
                            2012 ",8.8,731760人,诺兰就是保证。
断背山,希斯·莱杰,"
                            2005 ",8.8,713229人,每个人心中都有一座断背山。
剪刀手爱德华,约翰尼·德普,"
                            1990 ",8.7,1043327人,浪漫忧郁的成人童话。
爱在黎明破晓前,伊桑·霍克,"
                            1995 ",8.8,693247人,缘分是个连绵词，最美不过一瞬。
入殓师,本木雅弘,"
                            2008 ",8.9,674675人,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,布鲁斯·威利斯,"
                            1999 ",8.9,562624人,深入内心的恐怖，出人意料的结局。
勇敢的心,梅尔·吉布森,"
                            1995 ",8.9,562767人,史诗大片的典范。
重庆森林,林青霞,"
                            1994 ",8.8,820729人,寂寞没有期限。
超能陆战队,斯科特...,"
                            2014 ",8.7,1026640人,Balalala~~~
幽灵公主,松田洋治,"
                            1997 ",8.9,529995人,人与自然的战争史诗。
甜蜜蜜,黎明,"
                            1996 ",8.9,563260人,相逢只要一瞬间，等待却像是一辈子。
爱在日落黄昏时,伊桑·霍克,"
                            2004 ",8.9,569458人,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,北野武,"
                            1999 ",8.9,603050人,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,志田未来,"
                            2010 ",8.9,560422人,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人,本·阿弗莱克,"
                            2014 ",8.7,965902人,年度最佳date movie。
天使爱美丽,奥黛丽·塔图,"
                            2001 ",8.7,960530人,法式小清新。 
阳光灿烂的日子,夏雨,"
                            1994 ",8.8,620770人,一场华丽的意淫。
完美的世界,凯文·科斯特纳,"
                            1993 ",9.1,319013人,坏人的好总是比好人的好来得更感人。
小森林 夏秋篇,桥本爱,"
                            2014 ",9.0,430237人,那些静得只能听见呼吸的日子里，你明白孤独即生活。
寄生虫,宋康昊,"
                            2019 ",8.8,1385218人,
无人知晓,柳乐优弥,"
                            2004 ",9.1,323118人,我的平常生活就是他人的幸福。
倩女幽魂,张国荣,"
                            1987 ",8.8,745708人,两张绝世的脸。 
时空恋旅人,多姆纳尔·格里森,"
                            2013 ",8.8,683554人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
侧耳倾听,本名阳子,"
                            1995 ",8.9,468266人,少女情怀总是诗。
幸福终点站,汤姆·汉克斯,"
                            2004 ",8.8,577992人,有时候幸福需要等一等。 
小森林 冬春篇,桥本爱,"
                            2015 ",9.0,383018人,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
驯龙高手,未知,"
                            2010 ",8.8,763966人,和谐的生活离不开摸头与被摸头。
未麻的部屋,岩男润子,"
                            1997 ",9.1,341752人,好的剧本是，就算你猜到了结局也猜不到全部。
哈利·波特与火焰杯,丹尼尔·雷德克里夫,"
                            2005 ",8.8,672286人,
一个叫欧维的男人决定去死,罗夫·拉斯加德,"
                            2015 ",8.9,490524人,惠及一生的美丽。
教父3,阿尔·帕西诺,"
                            1990 ",9.0,379455人,任何信念的力量，都无法改变命运。
怪兽电力公司,约...,"
                            2001 ",8.8,681377人,不要给它起名字，起了名字就有感情了。
萤火之森,佐仓绫音,"
                            2011 ",8.9,546267人,触不到的恋人。
傲慢与偏见,凯拉·奈特莉,"
                            2005 ",8.7,811222人,爱是摈弃傲慢与偏见之后的曙光。
玩具总动员3,汤姆·汉克斯,"
                            2010 ",8.9,524552人,跨度十五年的欢乐与泪水。
新世界,李政宰,"
                            2013 ",8.9,443662人,要做就做得狠一点，这样才能活下去。
釜山行,孔侑,"
                            2016 ",8.6,1212645人,揭露人性的丧尸题材力作。
被解救的姜戈,杰米·福克斯,"
                            2012 ",8.8,616097人,热血沸腾，那个低俗、性感的无耻混蛋又来了。
神偷奶爸,...,"
                            2010 ",8.7,956947人,Mr. I Don't Care其实也有Care的时候。
玛丽和马克思,托妮·科莱特,"
                            2009 ",9.0,424551人,你是我最好的朋友，你是我唯一的朋友 。
告白,松隆子,"
                            2010 ",8.8,677510人,没有一人完全善，也没有一人完全恶。
茶馆,于是之,"
                            1982(中国大陆) ",9.6,151283人,
